id,image_path,articleType,baseColour,productDisplayName,model_id,prompt_id,prompt,raw_output,cleaned_output,generated_text,error
6089,data/images/6089.jpg,Tshirts,Pink,UCB Women's Photographic Print Pink T-shirt,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Tshirts.

Known main color: Pink.",a woman in a pink dress with a pink bow,A pink T-shirt.,A pink T-shirt.,
8351,data/images/8351.jpg,Tshirts,Grey,Doodle Boy's Original Royal Classic Grey Melange Kidswear,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Tshirts.

Known main color: Grey.",a red and white striped shirt and a black and white striped tie,A grey striped T-shirt.,A grey striped T-shirt.,
25970,data/images/25970.jpg,Tops,White,Femella Women White Top,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Tops.

Known main color: White.",a woman standing in front of a white wall,A white top.,A white top.,
9546,data/images/9546.jpg,Tshirts,Purple,Nike Men As Elite Ultimate Ss Training Purple T-Shirts,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Tshirts.

Known main color: Purple.",a pink and white striped shirt with a white stripe,A purple striped T-shirt.,A purple striped T-shirt.,
38289,data/images/38289.jpg,Tops,Pink,Kids Ville Girls Pink Printed Top,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Tops.

Known main color: Pink.",a white and blue teddy bear sitting on top of a white surface,A pink top.,A pink top.,
5089,data/images/5089.jpg,Tshirts,Purple,Wrangler Men's Dip Dyed Polo Purple T-shirt,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Tshirts.

Known main color: Purple.",a man standing in front of a white wall,A purple T-shirt.,A purple T-shirt.,
36577,data/images/36577.jpg,Shirts,Brown,Provogue Men Brown Shirt,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Shirts.

Known main color: Brown.",a man standing in front of a wall,A brown shirt.,A brown shirt.,
7144,data/images/7144.jpg,Tops,Blue,Scullers For Her Women's Wow Knit Blue Top,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Tops.

Known main color: Blue.",a woman in a blue dress standing in front of a wall,A blue top.,A blue top.,
6999,data/images/6999.jpg,Tshirts,Magenta,s.Oliver Women Meganta Printed T-Shirt,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Tshirts.

Known main color: Magenta.",a woman standing in front of a white wall,A magenta T-shirt.,A magenta T-shirt.,
17567,data/images/17567.jpg,Shirts,Purple,Mark Taylor Men Purple & White Striped Shirt,vit-gpt2,ecommerce_v1,"You are generating an e-commerce product description from a single product image.

Rules:
- Output 1-2 short sentences (max 25 words).
- Mention: product type + main color. Mention pattern only if clearly visible.
- Do NOT mention: brand, price, material, size, gender, background, people, emotions, marketing phrases.
- Focus on the product only.

Return ONLY the description text.

Known product type: Shirts.

Known main color: Purple.",a man in a suit and tie standing in front of a wall,A purple shirt.,A purple shirt.,
